sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
902,964,763,842,675,863,741,0,74,1
902,964,764,845,673,863,741,0,72,0
902,964,764,848,681,863,741,0,72,1
903,964,763,848,682,863,740,0,74,0
901,964,763,848,682,863,740,0,74,0
902,965,763,850,682,863,739,0,73,1
902,965,763,851,682,862,737,0,72,0
902,964,762,852,683,862,738,0,66,0
902,965,763,851,684,862,738,0,74,1
902,964,763,851,682,861,737,0,73,0
902,962,762,851,682,863,736,0,69,0
902,963,763,852,681,862,738,0,72,1
902,963,763,852,682,863,738,0,75,0
902,963,762,853,681,864,738,0,74,0
902,964,761,853,679,863,739,0,66,0
902,963,761,852,679,864,739,0,66,1
902,963,761,851,682,864,739,0,65,1
901,962,760,852,681,863,737,0,65,0
902,961,761,852,681,863,736,0,67,0
901,960,762,853,680,863,735,0,67,2
901,959,762,854,682,863,736,0,69,1
902,960,762,853,681,862,733,0,69,0
901,960,763,853,683,862,731,0,68,0
902,960,763,853,683,862,733,0,68,1
901,960,761,854,682,860,734,0,66,0
902,961,762,855,683,863,736,0,68,0
902,961,762,854,683,865,736,0,66,0
902,962,762,855,683,864,736,0,66,2
902,961,763,855,683,864,736,0,66,0
902,960,760,854,683,863,737,0,66,1
902,960,765,856,683,863,736,0,66,0
901,960,765,856,684,863,737,0,67,0
901,960,766,856,684,863,734,0,65,0
902,960,765,856,684,864,735,0,66,1
902,960,765,856,684,864,735,0,65,0
902,961,765,856,684,863,735,0,66,0
902,960,765,857,685,864,735,0,65,1
903,960,764,856,683,864,735,0,67,0
902,961,764,856,683,864,735,0,66,1
903,960,764,856,684,864,731,0,64,0
902,961,765,856,685,864,730,0,64,1
902,960,763,857,684,864,730,0,82,0
902,960,764,858,685,863,730,0,89,0
903,960,764,857,683,863,730,0,89,0
903,960,764,858,684,863,731,0,92,1
902,960,763,857,683,863,731,0,85,0
902,960,763,858,684,864,731,0,86,0
903,959,759,857,685,865,729,0,90,1
902,959,759,858,684,864,730,0,93,0
901,960,769,859,684,863,730,0,79,0
901,959,770,859,684,862,730,0,66,0
903,959,770,859,684,863,730,0,93,0
903,958,769,859,686,863,731,0,94,1
902,959,769,859,686,863,730,0,87,0
902,959,769,859,686,863,731,0,92,1
902,958,767,860,686,863,731,0,67,2
902,959,766,860,686,863,733,0,85,0
902,959,767,858,683,863,732,0,97,0
903,959,767,860,687,863,732,0,93,0
903,959,767,859,685,863,732,0,91,2
903,959,767,860,684,863,730,0,72,1
902,960,766,855,675,863,732,0,77,1
903,959,767,858,680,862,732,0,62,1
903,960,767,856,670,863,732,0,61,1
902,960,766,857,668,863,732,0,87,0
902,959,767,857,676,863,732,0,66,0
903,958,767,857,683,864,730,0,75,1
902,957,767,857,682,864,730,0,77,1
903,956,767,858,683,864,727,0,75,1
902,955,767,858,685,864,728,0,78,1
903,955,766,858,684,863,728,0,76,1
903,956,766,859,684,863,729,0,75,1
903,953,766,860,682,863,729,0,75,1
903,949,766,860,681,863,730,0,75,0
903,943,766,861,679,864,729,0,76,0
902,940,766,862,679,863,730,0,70,1
903,934,766,861,681,863,729,0,70,0
902,921,766,859,685,863,730,0,64,1
902,919,767,849,681,863,730,0,66,0
903,920,766,854,687,863,729,0,67,0
902,916,765,857,688,864,729,0,67,1
902,919,766,855,690,864,730,0,66,2
902,920,766,859,681,861,729,0,64,1
901,913,764,863,690,862,729,0,57,0
901,912,763,865,693,861,728,0,61,1
902,913,763,864,696,862,729,0,66,1
901,915,763,860,696,862,727,0,64,0
901,916,766,863,695,863,728,0,61,0
902,919,766,862,697,863,727,0,42,0
902,923,765,861,693,863,729,0,43,0
902,926,766,861,698,863,726,0,69,2
903,932,765,847,690,864,727,0,47,1
902,933,765,856,688,864,726,0,62,1
903,931,766,857,681,864,725,0,91,0
903,933,764,856,683,864,724,0,65,0
903,929,766,862,685,864,723,0,53,0
904,930,767,865,687,865,722,0,54,1
903,927,767,867,685,864,721,0,68,0
903,928,768,865,687,864,721,0,69,0
904,933,767,866,686,864,722,0,65,1
904,935,767,866,685,864,722,0,60,2
903,936,766,867,684,863,720,0,60,0
903,938,765,868,695,863,720,0,65,1
902,939,766,866,690,864,720,0,63,0
903,941,765,866,693,864,720,0,64,1
903,943,763,865,687,864,719,0,90,0
903,946,767,863,684,864,723,0,85,0
904,952,766,863,687,864,723,0,60,1
903,953,765,861,686,864,723,0,62,0
902,956,766,864,685,863,722,0,68,2
902,958,764,859,687,863,723,0,87,0
902,961,763,857,690,858,721,0,66,0
902,961,764,865,692,863,722,0,68,1
903,962,762,863,692,863,720,0,69,1
901,962,762,865,695,860,720,0,69,1
901,963,755,863,698,862,721,0,69,1
902,963,756,862,697,861,722,0,69,1
902,964,760,863,702,860,720,0,70,2
901,964,762,864,705,860,719,0,69,0
902,963,763,866,706,860,717,1,69,0
902,964,763,866,705,859,718,1,70,1
902,963,762,865,705,860,716,0,70,2
902,959,765,849,696,860,716,0,69,1
902,955,765,847,698,858,714,0,68,1
902,960,763,856,701,859,714,0,70,1
902,961,765,857,705,856,714,0,64,2
900,961,766,861,709,854,716,0,64,2
901,961,764,861,709,857,715,1,68,0
902,960,764,862,709,856,715,1,69,1
902,957,765,863,708,860,717,1,88,0
901,956,767,864,708,859,717,0,66,1
903,951,766,864,708,859,716,0,67,1
902,947,767,863,705,861,716,0,68,1
903,939,769,863,700,861,716,0,69,1
903,927,770,865,699,860,714,0,69,1
903,920,769,870,700,860,713,0,66,1
903,906,770,873,717,861,713,0,68,1
903,902,770,879,720,860,712,0,85,1
902,897,769,883,721,860,710,0,94,0
902,894,770,889,726,860,709,0,65,0
903,890,770,888,731,860,707,0,71,1
903,894,768,881,734,858,707,0,73,1
903,895,769,881,738,860,704,0,72,1
902,894,769,881,740,860,709,0,74,1
901,900,769,880,741,859,710,0,72,1
901,903,763,881,734,859,710,0,72,1
900,899,763,880,736,858,712,0,74,0
901,891,764,879,734,859,712,0,74,1
900,895,763,877,736,859,708,0,74,1
900,897,763,871,723,858,708,0,74,0
900,904,763,867,716,858,707,0,77,2
900,914,763,866,717,857,707,0,77,0
900,916,762,868,714,858,706,0,78,1
900,913,763,868,706,858,705,0,78,0
901,898,766,871,701,858,704,0,77,0
901,893,765,875,714,859,706,0,73,1
902,891,767,877,719,859,704,0,77,1
902,889,767,876,712,859,706,0,75,1
902,889,768,876,706,859,706,0,77,1
902,885,768,876,709,859,705,0,75,1
902,885,768,877,706,860,704,0,77,1
902,887,768,877,706,861,702,0,77,1
903,889,769,878,711,860,702,0,73,0
903,889,770,879,707,860,703,0,77,0
902,891,769,878,700,861,701,0,60,1
902,894,770,879,692,860,701,0,65,1
903,893,770,878,691,859,701,0,77,0
902,888,769,877,684,860,701,0,65,0
909,889,769,877,685,861,701,0,65,1
902,894,769,878,690,861,700,0,75,0
903,899,769,877,692,858,699,0,77,0
902,896,769,875,692,857,697,0,77,0
902,895,770,874,689,846,697,0,77,1
903,891,769,874,691,857,693,0,78,1
903,893,770,874,692,858,692,0,77,1
902,896,770,875,694,857,692,0,77,0
903,902,770,874,687,853,672,0,65,2
903,910,769,874,692,858,682,0,65,0
902,915,766,870,688,858,681,0,90,1
902,916,767,869,685,852,684,0,92,0
901,920,769,873,682,855,684,0,63,1
902,929,773,873,668,861,684,1,0,0
909,933,777,873,663,870,682,4,225,1
914,943,780,872,654,883,667,316,454,4
914,949,781,871,660,886,657,586,505,4
916,946,782,869,672,885,647,631,545,3
915,944,781,868,679,889,686,652,559,633
917,952,781,861,669,891,878,615,585,822
916,960,780,865,710,891,917,644,490,847
916,967,779,869,727,894,936,680,482,861
919,968,783,864,736,896,943,680,517,865
921,974,798,841,746,899,936,635,517,832
925,969,818,841,742,899,906,605,238,599
925,966,811,846,701,897,911,606,474,746
919,968,790,870,660,893,939,632,559,875
918,968,781,870,656,894,949,631,587,872
918,960,782,867,654,894,953,638,597,857
919,927,784,868,674,894,944,667,617,762
917,908,784,855,698,891,916,682,646,655
917,909,790,856,728,891,902,697,689,626
917,913,800,879,737,894,864,696,651,4
920,890,811,891,727,894,791,664,651,4
917,879,796,890,729,885,638,598,622,4
924,914,790,893,789,881,635,613,601,3
917,935,795,897,817,881,643,356,42,1
912,932,791,885,795,884,637,2,50,0
911,886,794,896,781,877,640,1,43,1
921,823,844,908,773,878,631,94,47,6
917,825,850,904,787,868,632,81,40,6
913,860,845,898,796,867,629,112,53,6
913,897,852,878,807,872,633,150,56,7
914,917,852,844,808,875,638,116,60,7
913,945,848,830,812,873,632,113,57,7
912,960,848,842,811,874,632,85,71,5
913,968,854,816,813,870,631,86,54,6
910,972,846,792,819,868,629,89,60,7
909,971,844,775,821,866,630,83,60,8
905,967,833,812,826,861,624,84,59,5
902,966,818,805,828,860,633,83,58,7
901,968,816,787,826,860,630,77,60,6
901,969,811,791,823,863,629,88,51,5
905,969,821,818,822,868,630,20,51,3
910,947,845,846,811,870,630,85,65,5
911,923,862,873,810,873,626,88,52,6
914,893,867,867,814,872,626,83,58,6
913,870,867,879,810,872,629,84,56,5
912,852,866,889,807,869,629,36,42,2
911,846,860,889,804,869,630,4,47,2
913,846,866,891,801,869,629,4,52,1
913,847,866,890,802,869,631,54,53,5
914,851,865,889,806,872,628,4,61,1
916,852,867,888,808,874,627,4,75,2
918,863,869,888,811,876,628,4,51,3
918,868,868,885,815,878,627,4,51,1
919,869,870,885,814,878,628,4,73,2
917,870,865,885,815,878,628,4,69,2
919,878,869,883,814,879,629,4,66,3
919,877,870,882,817,880,628,4,73,2
919,878,867,883,815,879,628,4,55,3
920,875,872,886,816,880,629,4,52,2
921,874,876,888,817,881,628,5,53,3
921,873,874,886,818,880,626,5,52,1
919,871,871,884,816,880,620,5,53,2
919,875,873,886,814,879,611,5,55,2
919,878,872,887,815,879,608,5,56,1
917,878,863,888,813,876,614,4,52,1
914,878,847,875,808,874,617,5,55,3
913,878,842,868,809,873,613,5,56,2
911,882,832,871,811,871,616,4,56,3
910,887,829,870,804,871,613,4,69,2
911,889,825,860,804,870,620,5,71,1
909,890,817,864,812,870,626,5,54,1
908,892,811,866,810,870,632,5,55,2
910,902,818,854,804,873,626,5,57,1
911,904,813,853,809,870,614,4,57,2
908,899,806,852,810,869,618,4,43,1
911,901,825,856,811,874,622,5,43,1
913,902,828,852,810,875,608,5,47,2
912,891,822,854,809,874,619,5,43,1
911,889,815,853,813,871,609,5,57,1
909,884,810,846,814,870,608,5,70,1
909,883,808,846,815,869,609,4,74,2
907,887,807,840,818,867,615,4,57,3
908,887,814,848,814,871,617,5,60,1
913,883,831,856,815,875,618,4,58,1
912,881,833,852,818,871,621,4,59,2
912,882,828,853,816,871,623,5,60,1
910,880,819,858,816,870,624,4,67,2
911,889,816,854,811,868,634,5,61,1
908,893,814,862,806,869,603,4,58,2
910,888,817,852,816,868,620,5,58,2
909,890,812,852,806,865,627,4,60,2
914,880,832,869,798,865,630,4,61,1
909,882,813,861,809,857,629,4,60,2
908,884,810,855,818,861,633,4,60,2
908,886,808,854,820,864,638,5,62,2
908,891,802,852,823,865,636,5,62,3
910,893,809,858,823,866,635,4,61,1
910,891,811,856,825,865,636,5,62,2
912,891,817,860,824,868,636,5,63,2
911,894,811,865,825,865,637,4,58,1
908,897,801,860,825,865,638,4,70,3
911,897,812,865,814,867,636,4,59,2
909,903,801,857,816,864,637,4,61,1
907,900,793,850,818,863,637,4,62,2
905,903,789,856,818,864,637,5,62,1
908,915,800,868,817,866,637,5,59,1
906,918,793,870,817,866,637,5,64,2
911,918,816,878,814,868,638,4,64,2
909,917,806,876,812,860,638,4,64,2
905,920,790,848,805,857,637,5,64,2
903,928,784,809,810,856,638,4,69,2
900,933,780,797,806,856,637,3,71,3
901,934,781,819,816,857,637,4,70,1
901,931,780,811,816,856,638,4,69,2
901,930,781,816,812,857,636,4,70,2
901,929,782,814,814,857,636,4,69,2
901,928,779,815,818,855,637,4,69,2
900,925,778,831,820,855,636,4,70,3
901,923,782,821,822,855,635,4,65,1
901,924,784,813,822,857,636,4,63,2
901,925,784,803,823,856,635,4,68,1
902,924,786,810,827,859,636,4,70,3
903,924,785,811,828,859,632,4,71,1
901,922,778,799,829,859,630,5,72,2
901,922,776,796,829,856,630,4,71,2
901,922,776,809,829,856,629,4,72,2
899,920,777,795,828,856,628,4,73,1
900,919,777,784,824,855,626,4,72,2
899,923,777,795,828,855,627,4,72,2
897,924,773,797,828,853,627,4,72,2
895,918,767,823,828,845,626,4,71,2
892,913,763,815,827,848,630,4,70,1
894,923,764,800,818,853,627,4,73,1
896,932,766,798,823,852,628,4,69,2
896,928,765,804,821,852,631,4,66,1
895,923,764,804,813,851,630,4,65,2
895,928,761,813,817,850,629,4,65,2
894,942,758,789,813,848,630,4,64,1
894,954,759,786,820,854,629,4,66,3
